label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Tree,530,1351,532,433,forest_01.jpg,4000,3000
Tree,1651,1289,360,355,forest_01.jpg,4000,3000
Tree,2314,2019,511,496,forest_01.jpg,4000,3000
Tree,2111,490,323,402,forest_01.jpg,4000,3000
Tree,1745,1957,360,433,forest_01.jpg,4000,3000
Tree,1135,1873,501,569,forest_01.jpg,4000,3000
Tree,368,762,443,365,forest_01.jpg,4000,3000
Tree,1234,360,381,402,forest_01.jpg,4000,3000
Tree,1443,1388,240,266,forest_01.jpg,4000,3000
Tree,2032,1023,224,318,forest_01.jpg,4000,3000
Tree,1834,730,219,308,forest_01.jpg,4000,3000
Tree,2147,1633,282,360,forest_01.jpg,4000,3000
Tree,1771,2530,323,350,forest_01.jpg,4000,3000
Tree,728,1993,329,355,forest_01.jpg,4000,3000
Tree,2862,704,282,287,forest_01.jpg,4000,3000
Tree,2465,824,177,297,forest_01.jpg,4000,3000
Tree,1265,809,381,308,forest_01.jpg,4000,3000
Tree,1735,370,183,261,forest_01.jpg,4000,3000
Tree,2335,37,308,329,forest_01.jpg,4000,3000
Tree,436,297,370,318,forest_01.jpg,4000,3000
Tree,154,344,230,240,forest_01.jpg,4000,3000
Tree,686,94,172,203,forest_01.jpg,4000,3000
Tree,858,31,266,277,forest_01.jpg,4000,3000
Tree,2606,428,245,313,forest_01.jpg,4000,3000
Tree,858,803,323,350,forest_01.jpg,4000,3000
Tree,3571,266,235,297,forest_01.jpg,4000,3000
Tree,18,1847,329,397,forest_01.jpg,4000,3000
Tree,60,710,240,261,forest_01.jpg,4000,3000
Tree,965,2030,242,231,forest_3 (1).jpg,4032,3024
Tree,1307,2025,137,131,forest_3 (1).jpg,4032,3024
Tree,1365,2403,200,226,forest_3 (1).jpg,4032,3024
Tree,1065,174,195,205,forest_3 (1).jpg,4032,3024
Tree,839,657,210,258,forest_3 (1).jpg,4032,3024
Tree,381,605,363,316,forest_3 (1).jpg,4032,3024
Tree,345,326,195,195,forest_3 (1).jpg,4032,3024
Tree,692,284,174,252,forest_3 (1).jpg,4032,3024
Tree,3363,2751,205,210,forest_3 (1).jpg,4032,3024
Tree,2922,563,258,305,forest_3 (1).jpg,4032,3024
Tree,2233,547,295,263,forest_3 (1).jpg,4032,3024
Tree,2916,79,210,205,forest_3 (1).jpg,4032,3024
Tree,3505,89,258,284,forest_3 (1).jpg,4032,3024
Tree,1155,426,247,200,forest_3 (1).jpg,4032,3024
Tree,539,1052,237,226,forest_3 (1).jpg,4032,3024
Tree,629,2246,247,252,forest_3 (1).jpg,4032,3024
Tree,3216,2188,321,352,forest_3 (1).jpg,4032,3024
Tree,2017,2514,237,237,forest_3 (1).jpg,4032,3024
Tree,1828,2035,200,200,forest_3 (1).jpg,4032,3024
Tree,2017,200,189,179,forest_3 (1).jpg,4032,3024
Tree,949,2787,373,216,forest_3 (1).jpg,4032,3024
Tree,2522,2240,284,231,forest_3 (1).jpg,4032,3024
Tree,1691,2661,263,316,forest_3 (1).jpg,4032,3024
Tree,1812,631,337,258,forest_3 (1).jpg,4032,3024
Tree,1586,11,326,263,forest_3 (1).jpg,4032,3024
Tree,2480,316,284,189,forest_3 (1).jpg,4032,3024
Tree,2974,2451,205,210,forest_3 (1).jpg,4032,3024
Tree,2285,1904,252,189,forest_3 (1).jpg,4032,3024
Tree,1318,820,289,210,forest_3 (1).jpg,4032,3024
Tree,2743,841,126,158,forest_3 (1).jpg,4032,3024
Tree,313,2666,168,126,forest_3 (1).jpg,4032,3024
Tree,3553,684,189,210,forest_3 (1).jpg,4032,3024
Tree,2133,2135,137,205,forest_3 (1).jpg,4032,3024
Tree,381,2414,205,174,forest_3 (1).jpg,4032,3024
Tree,2974,2035,200,163,forest_3 (1).jpg,4032,3024
Tree,508,21,273,195,forest_3 (1).jpg,4032,3024
Tree,2030,815,190,149,forest_3 (3).jpg,3840,2160
Tree,42,41,190,222,forest_3 (3).jpg,3840,2160
Tree,676,5,340,204,forest_3 (3).jpg,3840,2160
Tree,24,1137,199,340,forest_3 (3).jpg,3840,2160
Tree,164,1608,258,208,forest_3 (3).jpg,3840,2160
Tree,730,883,226,199,forest_3 (3).jpg,3840,2160
Tree,861,1426,222,181,forest_3 (3).jpg,3840,2160
Tree,811,1739,199,163,forest_3 (3).jpg,3840,2160
Tree,2890,1263,217,245,forest_3 (3).jpg,3840,2160
Tree,2256,1096,231,195,forest_3 (3).jpg,3840,2160
Tree,1214,1997,308,163,forest_3 (3).jpg,3840,2160
Tree,3451,657,380,226,forest_3 (3).jpg,3840,2160
Tree,3144,1698,299,267,forest_3 (3).jpg,3840,2160
Tree,2600,1829,285,272,forest_3 (3).jpg,3840,2160
Tree,626,398,172,235,forest_3 (3).jpg,3840,2160
Tree,1233,50,226,235,forest_3 (3).jpg,3840,2160
Tree,2496,27,249,217,forest_3 (3).jpg,3840,2160
Tree,3601,113,235,267,forest_3 (3).jpg,3840,2160
Tree,3261,919,213,213,forest_3 (3).jpg,3840,2160
Tree,2428,403,235,217,forest_3 (3).jpg,3840,2160
Tree,2917,349,235,222,forest_3 (3).jpg,3840,2160
Tree,2709,996,226,226,forest_3 (3).jpg,3840,2160
Tree,1228,675,276,254,forest_3 (3).jpg,3840,2160
Tree,1,752,276,231,forest_3 (3).jpg,3840,2160
Tree,3483,1263,290,258,forest_3 (3).jpg,3840,2160
Tree,1,1848,254,294,forest_3 (3).jpg,3840,2160
Tree,1704,63,267,245,forest_3 (3).jpg,3840,2160
Tree,377,1150,245,285,forest_3 (3).jpg,3840,2160
Tree,1323,1417,226,272,forest_3 (3).jpg,3840,2160
Tree,2224,1834,331,276,forest_3 (3).jpg,3840,2160
Tree,2383,1345,344,235,forest_3 (3).jpg,3840,2160
Tree,1115,421,344,240,forest_3 (3).jpg,3840,2160
Tree,150,521,204,118,forest_3 (3).jpg,3840,2160
Tree,2265,217,181,109,forest_3 (3).jpg,3840,2160
Tree,1070,1752,312,231,forest_3 (3).jpg,3840,2160
Tree,522,1934,308,195,forest_3 (3).jpg,3840,2160
Tree,1006,1037,281,276,forest_3 (3).jpg,3840,2160
Tree,2781,638,317,308,forest_3 (3).jpg,3840,2160
Tree,3216,340,294,281,forest_3 (3).jpg,3840,2160
Tree,3044,18,303,267,forest_3 (3).jpg,3840,2160
Tree,3587,1816,245,308,forest_3 (3).jpg,3840,2160
Tree,1613,426,217,285,forest_3 (3).jpg,3840,2160
Tree,2088,41,213,140,forest_3 (3).jpg,3840,2160
Tree,291,299,195,190,forest_3 (3).jpg,3840,2160
Tree,476,878,186,208,forest_3 (3).jpg,3840,2160
Tree,1971,417,195,131,forest_3 (3).jpg,3840,2160
