label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
tree,1812,600,394,337,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,2443,331,279,226,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,3022,2204,179,184,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,828,663,221,216,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,1191,389,263,205,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,2985,573,200,200,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,3568,405,205,179,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,644,273,195,195,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,1065,142,200,184,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,1060,2256,273,210,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,2001,2482,426,252,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,1276,1988,216,221,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,2532,2367,300,189,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,1943,153,205,179,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,2916,63,258,179,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,3647,2072,258,252,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,613,2246,268,205,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,40,826,210,200,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,3505,100,263,247,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,2911,2630,252,295,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,1849,2251,295,210,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
tree,1433,42,226,216,"Aerial_shot_of_the_Khaura_River_and_the_tree_canopy,_Bardiya_National_Park.jpg",4032,3024
