epoch,lr-SGD,step,train_bbox_regression_epoch,train_classification_epoch,train_loss_epoch,val_bbox_regression,val_classification,val_loss
,0.001,0,,,,,,
0,,1,,,,0.4978477358818054,0.48698705434799194,0.9848347902297974
0,,1,0.4367508292198181,0.41394519805908203,0.8506959676742554,,,
,0.001,2,,,,,,
1,,3,,,,0.49550914764404297,0.47380852699279785,0.9693176746368408
1,,3,0.4149775803089142,0.3767659366130829,0.7917435169219971,,,
,0.001,4,,,,,,
2,,5,,,,0.49649614095687866,0.4804394543170929,0.976935625076294
2,,5,0.38437408208847046,0.3663734793663025,0.750747561454773,,,
,0.001,6,,,,,,
3,,7,,,,0.4974110722541809,0.49644529819488525,0.9938563704490662
3,,7,0.35738903284072876,0.3228616714477539,0.6802507638931274,,,
,0.001,8,,,,,,
4,,9,,,,0.5040088891983032,0.5025050044059753,1.0065138339996338
4,,9,0.3627099096775055,0.3268558382987976,0.6895657777786255,,,
